message_content,prelabel,label
"You shall love your neighbor as yourself, Mark 12:31. Reply with 10 to spread this message of encouragement. To entertain your callers with Be strong in the Lord and in his mighty power"" dial *811*809#""",0: Legit (Low-risk),legit
Congratulations You've won 956,1: Moderate-risk scam,scam
"KCB VOOMA LOAN is now available to All M-PESA USERS SMS LOAN to 0101507044 Apply\n10,000\n20,000\n50,000\n100,000\n25%Savings.To activate dial *522#Call. 0612340004",2: High-risk scam,scam
"Congratulations, You have received KES200,000 MPESA ref: CRASH\n\nSignup hapa na ucheze, upate message kama hii!\n\nhttps://juubet.com STOP *456*9*5#",2: High-risk scam,scam
"Dear Customer, Reply with 33 to set this as your call signature:Believe in yourself and there will come a day when others will have no choice but to believe with you.To stop receiving these messages, reply with STOP",0: Legit (Low-risk),legit
"Dear tenant, rent payment is now via MPESA till4975868(SECURE)due to problems with our regular rent account. PAY ON TIME. No other payment accepted. Management",2: High-risk scam,scam
"Grace be with you all, Hebrews 13:25, Reply with 11 to spread this message of hope. To entertain your callers with The Lord is my light and my salvation "" dial *811*356#""",0: Legit (Low-risk),legit
"Madness starts Tomorrow with up to 50% OFF Diapers! More crazy deals on 21st, 24th-28th & 31st March. Get ready. Shop while stocks last. STOP*456*9*5#20% OFF Flash Sale is Live Now! Order until 4 PM only. Apply code FLASH20 to non-discounted items except diapers. Shop at bit.ly/3BfPu3g. STOP ",2: High-risk scam,scam
"Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam GRACE but dialled your number by mistake. Kindly delete it from your phone and dont disclose it to anybody else for it bears my private and very confidential information which can cost me a very big loss if disclosed to dishonest person. I promise you a reward on my arrival if you act honestly. Am Dr: HASSAN a businessman from DAR ES SALAM TZ. But currently at the kenyan border heading to Mombasa port. please, Send me your name and Number to 0782273162.",0: Legit (Low-risk),legit
"Confirmed! You have received Ksh3,000 from Qbet\nBalance: Ksh3,000.USE  promo code 'qbet' to redeem\nPLAY NOW\nhttps://qbet.ke/promotions STOP *456*9*5#",2: High-risk scam,scam
"Today only: up to 50% OFF La Roche & CeraVe! Valid while stocks last. Shop Lotions, Sunscreen, Cleansing Bar, Foam Cleanser, etc at bit.ly/3FSRtfM STOP*456*9*5#",2: High-risk scam,scam
"CONGRATULATIONS TAO5D8LTFT confirmed You have received Ksh 139,477.00 FROM WEKELEA BONUS A/C \n\nRegister> wekelea.com \n\nDEPOSIT 99,PLAY &WITHDRAW\nSTOP*456*9*5#",2: High-risk scam,scam
"4 11 1 Chronicles 16:11 Look to the LORD and\nhis strength; seek his face always."" Reply with\n13 to set as your signature. Reply with Stop to\nstop receivng this message""",0: Legit (Low-risk),legit
"Tunakupatia Financial freedom {na} ushinde hadi 500,000\nNjia ni moja hapa na ni rahisi sana@KAMEME\nDIAL *496# UCHAGUE BOX KATI YA 1-6\nKATA AKUITIE",0: Legit (Low-risk),legit
"Hi, I'm Alice, a recruiter at VG Investments. We are looking for a responsible part-time partner to join VG Investment Group. Join us and use your mobile phone for 30-60 minutes a day, with daily salary ranging from 3000-8000 KES! 👇👇👇 (must be 23 years old or above)\nContact us via WhatsApp:+18643838870",2: High-risk scam,scam
"Hello  GIDEON, Ksh 72,000 has been deposited to your account.\n\nYou can now withdraw it to mpesa.\n\nvisit >  sofabets.com\n\nThank You.",2: High-risk scam,scam
"Samahani! Huo ujumbe sio wako nimekosea nambari. Unazo siri zangu za biashara, ufute nitashukuru. Niandikie majina na nambari ile itapokea soda.yako ",0: Legit (Low-risk),legit
"LUCKY TEAM *446#\nSHUJAA PETER AMEKWACHUA 220,000 /=\n\nBONYEZA *446#, CHEZA KAMA SHUJAA, SHINDA PESA\n\nWITHDRAW WINNINGS TO YOUR MPESA\nSTOP *456*9*5#",0: Legit (Low-risk),legit
"Recruiting partners, mobile phone work, 1-5 minutes of work per day, 3000-8000Ksh per day. Contact information:https://t.me/OnlineCustomerService55",2: High-risk scam,scam
Congratulations winner You have Received 1000Ksh\n\nDeposit 1000Ksh & GET 1000Ksh\nInstantly\n\nDeposit to Claim>>\nhttps://www.aviata.ke STOP\n*456*9*5#,2: High-risk scam,scam
#QM NJAANUARY CRAZY DEALS!\n\nRed Grapes/Pack@299\nBeef Steak/500g@449\nDairyBest 500ml@56\nJogoo Maize 2kg@129\nLotus HB 2kg@129\nFresh Fri 2l@549\nSunrice Basmati 5kg@1399\nPrestige Margarine 500g@199\nPepsi Soda 2l@129\nPetals/Rosy 10P@299\nPersil 1kg@289\nZenta Cream 1kg@179\nSoftcare Gold H/Count@899\nRamton S/Iron@1495\nVon Blender 350W@4295\nVon W/Dispenser@6895\nMika Fridge 138L@29995\n\nVALID ONLY TODAY\n(24/01/2025)\nGilbeys 750ml@899\nJ&B Whisky 1l@1399\n STOP *456*9*5#,0: Legit (Low-risk),legit
"Stay fresh & confident with Dadacare! Enjoy lasting comfort and softness with no hassle of frequent pad changes. Shop Dadacare at bit.ly/48dWlET STOP *456*9*5#Valentine's Flash Sale! Get 20% Off non-discounted items (excluding diapers) from 12 PM to 2 PM. Use code VALENTINES20. Shop at bit.ly/3pNQdTH STOP *456*9*5#Your Offer! Kes.1,402 Off today, 2.02 PM - 2.31 PM. Use Code 1402 on all items except prescriptions. Min spend Kes.2,500. Shop at bit.ly/3pNQdTH STOP *456*9*5#",2: High-risk scam,scam
"NOTICE!  Dear tenant. We are writing to let you know about a significant modification to our year 2025 rent payment procedure. Effective from (MARCH) all rent payments will be done through:  LIPA NA MPESA PAYBILL: 4157147 ACCOUNT: Your name or House Number NAME: RESIDENTIAL MANAGEMENT AGENCY  Cash or any other mode of payment will not be accepted moving forward. Deadline 5th MARCH 2025.  Regards, Management",2: High-risk scam,scam
"Dear Customer,  Reply with1 to set NI MUNGU by JOHN M as your Skiza Tune.   Reply with2 to set Yatapita by SALAF as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",2: High-risk scam,scam
"You are never too old to learn somethinng new.Reply with 00 to subscribe. Dial *812*370# hussle like there is no tomorrow as your skiza. to stop receiving this message reply, stop",0: Legit (Low-risk),legit
GCongratulations for being my friend today might be your lucky day\n\n\nKindly where do you come from,2: High-risk scam,scam
"Mungu mpendwa, naomba ulinde watoto wangu. Waongoze kwenye njia iliyo sawa na walinde kutokana na hatari. Wajaze hekima na ujasiri. Familia yetu iwe kimbilio la upendo na amani. Amina. Jibu na 2 ili kueneza ujumbe huu kwa wengine. Bonyeza*875*353# kupata niponye Mungu kama skiza. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
"Jason, your fund balance: 2185609.00 KES Sh has been received, please check. Account number: uu5659 Password: yy99568 Access link: jhydl.com",2: High-risk scam,scam
"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" dial *811*608#""",0: Legit (Low-risk),legit
"Dear JAPHETH KITUR , you have a Maize voucher code: TDPS7V4FUN for 2 Bags of Top Dresser.This voucher is for Long Rain 2025.This voucher will expire on 30/06/2025. Please visit your nearest NCPB Depot to redeem. Thank You - Ministry of Agriculture",2: High-risk scam,scam
"Cheapest social media marketers of Facebook, Instagram, Tiktok, YouTube etc. Make your order here👇👇\nCheapgainskenya.co.ke\nWhatsApp Us https://wa.me/254718436139",2: High-risk scam,scam
"Asante Mungu, kwa baraka zako zote. Kwa chakula, kwa afya, kwa familia na marafiki. Moyo wangu umejaa shukrani. Amina. Jibu na 2 ili Kueneza baraka hizi kwa wengine. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
"[Zuricash] You have successfully logged in, apply and receive up to 50,000 by clicking https://bit.ly/3rFEHdU, or contact us: 0207905232. STOP*456*9*5#",2: High-risk scam,scam
When you pray real things happen in your life that wouldnt have happened if you didnt pray. God is real and he is listening🙏Bless your callers with this message,0: Legit (Low-risk),legit
"Win! With kes10, you can win upto kes 10,000 on bebacrash.Enjoy 60% Karibu bonus,30% referral bonus\nlink:https://bebacrash.com?affil=Bebacrash1 STOP *456*9*5#",2: High-risk scam,scam
"Hi ni Phoebe, mbona hauko online, anyway text me on 0748295778 via WhatsApp. we need to finish up the transaction.",2: High-risk scam,scam
"'The Lord is my Light and my salvation,who shall i fear🙏To share this message of strength reply with 3.To stop receiving these messages reply with STOP.",0: Legit (Low-risk),legit
Sunday Flash Sale is On! Get 20% Off using code BREAKFREE20 on non-discounted items except diapers. Order Now until 4 PM. Shop at bit.ly/3BfPu3g. STOP *456*9*5#It's Live! Last Flash Sale of February with 20% OFF til 4 PM. Use code BREAKFREE20 on non-discounted items except diapers. Shop at bit.ly/3BfPu3g. STOP*456*9*5#Pay Week Sale is LIVE! Use code PAYWEEK20 & get 20% off on Pay Week items. ,2: High-risk scam,scam
"Dear Customer; TALA Softloan is now available to all M-PESA Users @ 10% interest from; Ksh10,000 Ksh20,000 Ksh50,000 Ksh250,000, call/sms TALA to 0736462245",2: High-risk scam,scam
"RENT REMINDER:Dear tenants,all rent payment is due in a few days.We have changed our rent payment method to Equity bank account PAYBILL:247247 ACCNO: 7770185211128",2: High-risk scam,scam
´Usikate tamaa. Mungu yupo!💪🙌To subscribe reply with 20.To stop receiving these messages reply with stop.,0: Legit (Low-risk),legit
"Part-time or full-time online work, 1-5 minutes of work per day, 5000Ksh per day. Contact information:https://t.me/Jennife33998",2: High-risk scam,scam
"# ***Government Scholarship 2024-25 is OPEN NOW!***   Country: TURKEY ... GERMANY....UK...USA... INDIA... ITALY...NEW ZEALAND.... MALAYSIA... CANADA... AUSTRALIA... EGYPT... JAPAN...CHINA...ETC.  Universities: All Universities in the country   Course Level: Bachelor’s, Master’s, PhD  Scholarship Coverage: Fully Funded  Eligibility: Selected Countries  Deadline Date: 30 April 2024  **Scholarship Benefits:**  Full tuition fees  Return economy class air travel  One time Establishment allowance  Contribution to living expenses paid fortnightly  An Introductory Academic Program  Overseas Student Health Cover (OSHC) for the duration of the award  Supplementary academic support  Initial visa expenses  Research awards and Masters by coursework.  Research awards eligible research students.  Share with others for help and awareness",2: High-risk scam,scam
"Nothing beats this,\nCongratulations, you've won 401 MILLI SportPesa Mega Jackpot!\n\nCheza na 99 bob, Kick-off ni LEO 8:30pm!\n\nhttps://spp.ke/MJPB\n\nStop *456*9*5#",2: High-risk scam,scam
"Your chance to win KES 5,000 is just a transaction away! Spend KES 250 or more via Paybill, Buy Goods, or bill payments directly from your Branch app and stand a chance to win. Start transacting today! T&Cs apply #KrisiIbambe",2: High-risk scam,scam
"Dear tenant,rent payment is now via MPESA TILL 4590480(PAYLINK)due to problems with our regular rent account.PAY ON TIME.No other payment accepted.MANAGEMENT.",2: High-risk scam,scam
Kindly Visit us on Google playstore to grab quick loan..\n\nAPP LOAN \n\n>>ZURICASH \nhttps://bit.ly/3EoWSZd\n   \n Don't miss out our exclusive discounts of not less than 300 off your repayable amount for your resent application.,2: High-risk scam,scam
God is close to those who are hurting and will never forsake them🙏. Reply with 6 to share this message. To stop getting these messages reply stop. Dial *812*734# to get Salimia watu as your skiza tune.,0: Legit (Low-risk),legit
You have received ksh 1000 login bonus\nEnjoy 100% up to ksh.5000 first Deposit by using promo 'Mali'\nPlay now to win more www.chezabet.ke STOP *456*9*5#,2: High-risk scam,scam
"Customer Satisfaction Survey!\n\nDear Valued Customer,\n\nAt Quickmart, we are dedicated to providing you with an outstanding shopping experience. To help us achieve this goal, we invite you to participate in our quarterly customer satisfaction survey.\nYour feedback is crucial to us, and it will be used to make meaningful improvements. Please take a moment to complete the survey by clicking the following link: \n\nLink survey https://shorturl.at/KBLEY\nThank you!\n STOP *456*9*5#",2: High-risk scam,scam
"NOTICE!\nDear tenant.\n\nWe are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER all rent payments will be done through:\n\nLIPA NA MPESA \nPAY BILL \nBusiness number 4140727\nAccount Number ( your name or house number)\nNAME : PROSPERITY  SERVICES \n\nCash or any other mode of payment will not be accepted deadline 5th SEPTEMBER.\n\nRegards,\nManagement.",2: High-risk scam,scam
"I can do everything through Him who gives me strength, Phillippians 4:13, Reply with 10 to spread this message of Strength. To entertain your callers with I can do all this through him who gives me strength"" dial *811*351#""",0: Legit (Low-risk),legit
"HELLO Hope this message finds you well.. This is KENYA WRITERS, we are currently hiring and training writers to do academic assignments, projects and researches for pay (20,000-60,000 monthly) If interested, join our whatsApp group for updates via the link below  https://chat.whatsapp.com/Ek2zwGIoKzk2PQxXZSpMvt  Ignore if not interested",2: High-risk scam,scam
"Dear Customer,  Reply with1 to set shukran ya Rab by nasheed as your Skiza Tune.   Reply with2 to set NI MUNGU by JOHN M as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",2: High-risk scam,scam
"[Zuricash] You have successfully logged in, apply and receive up to 50,000 by clicking https://bit.ly/3rFEHdU, or contact us: 0207905232. STOP*456*9*5#",2: High-risk scam,scam
May blessings,0: Legit (Low-risk),legit
"Dear Customer,  Reply with1 to set Eidun Saeed by Islamic Nasheed as your Skiza Tune.   Reply with2 to set Nyanya Rukia Kunkucha by Mtech Wacky tunes as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.\n",2: High-risk scam,scam
"M-PESA\nRI19KTV1PX Confirmed.You have received Ksh3,850.00 from YUSUF ALI on 1/9/23 New M-PESA balance is Ksh(LOCKED).To reverse forward message to 456.",2: High-risk scam,scam
'God changes times and seasons🙏: he removes Kings and raises others. He gives wisdom to the wise🙏🙌To set this as your call sign please reply with 18. To stop receining these messages reply with Stop.,0: Legit (Low-risk),legit
We are delighted to inform you that you may now proceed with your transaction using the ID 601189. Thank you for choosing our service,2: High-risk scam,scam
"SIKU ISIISHE KAMA HUJANYAKUA PAWA CASH\nUkiwa na 50bob Tunaimultiply hadi SH300,000+\nUsizubae Rafiki!\n-\nDIAL *249# & PICK\n1\n2\n3\n4\n5\n6\n7\nSTOP*456*9*5#",0: Legit (Low-risk),legit
Part time job.\nEarn 800-5000KES easily every day.\nno time limit. Part-time job online.\nDownload TG and get the job done.\nDownload TG to get to work:\nt.me/SU5855,0: Legit (Low-risk),legit
Welcome to FRIENDZCHAT service. Please reply: 1 Buy auto renew. 2 Buy once. 3 Reject.,0: Legit (Low-risk),legit
"Fungua mwezi kidosi na Ksh 389,054,613 SPORTPESA Mega Jackpot mfukoni\nCheza na 99/= Kick-off ni Kesho 8PM\nhttps://spp.ke/TC\nDial *790#\n0709079079 Stop *456*9*5#",2: High-risk scam,scam
"[Zuricash] You have successfully logged in, apply and receive up to 50,000 by clicking https://bit.ly/3rFEHdU, or contact us: 0207905232. STOP*456*9*5#",2: High-risk scam,scam
"Samahani! Huo ujumbe haukuwa wako,nilikuwa natumia madam HELLEN nakwakuwa nilikuwa naendesha gari nikakosea nambari moja ikaingia kwako kimakosa.Tafadhali futa huo ujumbe kwa simu yako na usije ukaonyesha yeyote kwa kuwa unazo siri zangu za kibiashara zenye zaweza fanya nipate hasara kubwa ikipata mwenye si mwaminifu.nakuahidi utapata zawadi kubwa nikipata mali yangu ikiwa salama kwa uaminifu wako. Naitwa DR.HAMISA SWALEH kutoka Arusha Tanzania kwa sasa niko safarini naelekea Mombasa,nitumie nambari yako ya safaricom na majina kamili nikutumie zawadi yako kwa 0105051632",0: Legit (Low-risk),legit
"🔥🤑Get FREE 50 Mbs data, Reply with YES to set\n🌞People say nothing is impossible, but I do nothing every day.😅\nas your call signature and successfully bill. To stop receiving messages reply STOP.",0: Legit (Low-risk),legit
"Hallo madam susan have sent 13.8M via western union, clear containers (JX8213)secret wordblue",0: Legit (Low-risk),legit
"🤑🎁Get FREE 50 Mbs data, Reply with YES and successfully bill to set\n😄🏖The best way to cheer yourself is to try to cheer someone else up.\nas your call signature. To stop receiving messages reply STOP.",0: Legit (Low-risk),legit
"You have Received Ksh 295,650 from TOPCRASH \n\nOWEN MAINA Ametoa hii pesa@12.08\n-\nCLICK> topcrash.co.ke\n\nDeposit 99 | PLAY & WITHDRAW STOP *456*9*5#\n",2: High-risk scam,scam
"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" dial *811*608#""",0: Legit (Low-risk),legit
Dear Wandia\nDownload our MANIFESTO for the people of Mombasa\n\nwww.mombasayetu.com/KISW.pdf\n\nwww.mombasayetu.com/ENGLISH.pdf\n\nShariff Nassir\nSTOP *456*9*5#,2: High-risk scam,scam
Kindly Visit us on Google playstore to grab quick loan..\n\nAPP LOAN \n\n>>ZURICASH \nhttps://bit.ly/3EoWSZd\n   \n Don't miss out our exclusive discounts of not less than 300 off your repayable amount for your resent application.,2: High-risk scam,scam
halal unaitwaje,0: Legit (Low-risk),legit
2025:A year of new blessings,0: Legit (Low-risk),legit
IMAGINE TU VILE MAISHA YAKO INAWEZA BADILIKA UKISHINDA 1 MILLION!!\n\nCHEZA LOTTO USHINDE MAPESAA!\n\nTO PLAY DIAL *501#\n\nKUWA MSHINDI WETU WA LEO!!\n\nSTOP*456*9*5#,0: Legit (Low-risk),legit
"Hello oliver,i have send 8,000 dollars through bank of baroda,p/ward(3562) to clear the 2 containers at port,MTC 65G.Registalation no.JMA&JMB.Am on my way coming currently am in border at Namanga,It's Alex lawaza(TZ)",0: Legit (Low-risk),legit
2025,0: Legit (Low-risk),legit
"Dear Customer,  Reply with1 to set GOD IS GOOD by LINCOLN MWANIKI as your Skiza Tune.   Reply with2 to set June by Bluewater Group as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",2: High-risk scam,scam
TODAY IS YOUR LUCKY DAY!\nUnachagua Box unaWIN BIG\n\nTuma 1/2/3/4/5/6/7 utume kwa 29960\n5k/15k/75k/105k/355k iko guaranteed\n\nKucheza ni FREE\nSTOP *456*9*5#,2: High-risk scam,scam
Earn money by posting ads on your Whatsapp status. Earn ksh 100 per view. Text admin via the link below for summary;https://wa.link/hb64rc Get started today!,2: High-risk scam,scam
"We would like to extend an invitation for your first round *opportunity tour* to stand a chance of working with us at our office in Nairobi  TUESDAY 7TH JANUARY 2025  Venue: Kimathi Chambers, 6th Floor, Office 1  Kimathi Chambers is located along Kimathi Street in Nairobi, near Nation Media Centre, next door to Guaranty Trust Bank.  Reporting Time: 8:30 AM  YOUR RESERVATION CODE: FFP 155. OFFICE ADMINISTRATOR: *MR. BRIAN ODHIAMBO*",0: Legit (Low-risk),legit
"Recruiting partners, mobile phone work, 1-5 minutes of work per day, 3000-8000Ksh per day. Contact information:https://t.me/OnlineCustomerService66",2: High-risk scam,scam
'“You will be made rich in every way so that you can be generous in every way. Such generosity produces thanksgiving to God👐To share this message reply with 18. To stop receiveing this reply with STOP.When you pray real things happen in your life that wouldnt have happened if you didnt pray. God is real and he is listening🙏Bless your callers with this message,0: Legit (Low-risk),legit
"TC61VWBIJZ Confirmed.You have received Ksh5,880.00 From ALI JUMA on 6/3/25.New MPESA balance is  Ks*(LOCKED)*.To unlock Dial *35*0000*16#",2: High-risk scam,scam
"Dear Winner You have received KES2, 000 From Flybet\n\n200 BETS = 200 KES\n1500 BETS = 2000KES\n6000 BETS = 5000KES\n\nCLAIM NOW:\nwww.flybet.ke STOP\n*456*9*5#",2: High-risk scam,scam
CONFIRMED 5000 KWAKO SAI PITA NA OVER 500x ODD + 5K BONUS DAILY LOGIN @ helaviator.com STAKE 20/ OR MORE CASHOUT HIGHEST & WIN BONUS LEGIT STOP *456*9*5#,2: High-risk scam,scam
CONGRATS!\nYou have lots of bangpoints in your game account! Log in now to claim 600KSH cashbox! \nPlay via: https://casino.bangbet.co.ke/#/?KCWVVDX202,2: High-risk scam,scam
You will keep in perfect peace those whose minds are steadfast,0: Legit (Low-risk),legit
"SJ96FKH2DN CONFIRMED, YOU HAVE RECEIVED KES.80,500\n\nUSIPITWE NA HII CHEPKORIR INGIA> pepea.ke\n\nSHARE YAKO INAKUNGOJA LEO\n\nDEPOSIT 99/-PLAY&WIN",2: High-risk scam,scam
2025,0: Legit (Low-risk),legit
"Hi I'm Dr.VICKER PRESLEY 46yrs old man from California workin' for UN in Mandera, am single searching for female partner if interested call/sms to 0755415147. ",0: Legit (Low-risk),legit
"NI RENT, FEES AMA BILLS? USIWORRY CHEPKORIR\n\nTUNASORT 20K-230K EVERY 5 MINUTES\n\nINGIA> pepea.ke\n\nDEPOSIT 99/- OR MORE-PLAY-WIN-WITHDRAW",2: High-risk scam,scam
"Min spend 3000/=. Shop at bit.ly/3BfPu3g. STOP*456*9*5#Oh, Shoot! 20% OFF Flash Sale is Live Now. Order non-discounted items except diapers using code FLASH20 before 4 PM. Shop at bit.ly/3BfPu3g. ",2: High-risk scam,scam
"Dear tenant,rent payment is now via MPESA TILL 4826990(LINKPAY)due to problems with our regular rent account.PAY ON TIME.No other payment accepted.MANAGEMENT.",2: High-risk scam,scam
"STOP*456*9*5#Flash Sale is Live: 800/= OFF until 9 PM! Use code 800BOB on non-discounted items except diapers. Min spend 3,000/=. Shop at bit.ly/3BfPu3g. Catch this deal every Mon-Fri this March between 8pm-9pm. ",2: High-risk scam,scam
"NOTICE!\nDear tenant.\n\nWe are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER all rent payments will be done through:\n\nLIPA NA MPESA \nPAY BILL \nBusiness number 4140727\nAccount Number ( your name or house number)\nNAME : PROSPERITY  SERVICES \n\nCash or any other mode of payment will not be accepted deadline 5th SEPTEMBER.\n\nRegards,\nManagement.",2: High-risk scam,scam
"We make it easy to access mobile loans of up to Kshs. 35,000\nOur loans are insured hence no collateral\nVisit pesa-app.co.ke to your money processed in minutes",2: High-risk scam,scam
Need a hand? You can get help whenever you need it at help.uber.com. Reply STOP 2 to +1 415-237-0403 to unsubscribe.,2: High-risk scam,scam
🙏🙏 I can do all this through him who gives me strength. Phil 4;13 Reply with 17 To stop this message reply with STOP,0: Legit (Low-risk),legit
"Some of the best days of your life haven't happened yet! Keep going 🙏 Bless your callers with this message today reply with 8 To stop reply with Stop.""",2: High-risk scam,scam
Dear God,0: Legit (Low-risk),legit
"NOTICE! Dear tenant.  We are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER  all rent payments will be done through:  LIPA NA MPESA  PAY BILL  Business number :4140343 Account Number ( your name or house number) NAME:APARTMENT SERVICES AGENCY  Cash or any other mode of payment will not be accepted deadline 7th SEPTEMBER.  Regards, Management.",2: High-risk scam,scam
"Bwana, nifunike kwa ngao yako. Nilinde na maadui wangu, wale wanaoonekana na wasioonekana. Nijaze na nguvu na ujasiri kukabiliana na changamoto zozote. Amina. Jibu na 0 ili Kueneza ujumbe huu kwa wengine. Bonyeza *875*349 kupata sisi ni wale tuliobarikiwa kama skiza. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
Amount Credited:\n100000 coins \nSENDER: LuckyWin \nRef: Free Bonus expires at 20250101\nClaim on https://bit.ly/4gwoiN7\nSTOP*456*9*5#,2: High-risk scam,scam
"Finish uploading your documents to start making money on your terms with the Uber App, Christa t.uber.com/u_doc\nReply STOP 2 to +1 415-237-0403 to unsubscribe",2: High-risk scam,scam
"DEAR MERCY Confirmed your serial voucher No-286286. ksh25,750.00 has been credited to your MPESA ATM kindly link your line with our ATM Dispencer machine to confirm your balance within 4 minutes. Sender; Royal Media",0: Legit (Low-risk),legit
Tuma kwa hii 0723310005,0: Legit (Low-risk),legit
"RI138NGWQV Confirmed. You have received Ksh4,530.00 from  Emmanuel Omnari on 11/11/23. New M-PESA balance is Ksh(LOCKED).To Unlock dial *334#.",2: High-risk scam,scam
"SFN6XWLHK7\nConfirmed.You have recieved ksh3,240.00 from KELVIN KANDIE on 23/6/24.New M-PESA balance is ksh(*LOCKED*). Pay Bill's Via M-PESA.",2: High-risk scam,scam
Burna boy tickets available\nDm😊,0: Legit (Low-risk),legit
"Hello there!\n\nWe are hiring freelance academic writers to complete homeworks, assignments, papers, research, and projects for pay.\n\nUnskilled people will get online training.\nYou can use your phone or laptop to do and submit the tasks.\n\nJoin our WhatsApp group by clicking below:\nhttps://chat.whatsapp.com/CK1GMwwKjItCmEm7F0QXOU\n\nOr visit our website:\nhttps://dub.sh/uhs1STc\n\nSTOP *456*5*9#",2: High-risk scam,scam
"Dear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagement.",2: High-risk scam,scam
"Notice! Dear tenant, Effectively from this month(mar) all renat payment should be made on LIPA NA M~PESA PAYBILL:756756 ACC No:254112489665 Kindly Comply/Note.",2: High-risk scam,scam
This year has been so hard but,0: Legit (Low-risk),legit
"NOTICE!!\n\nDear Tenant, \nWe wish to notify  that  you clear all rent arrears by today 15th November 2023.\n All  payments should be paid to our new;\n Housing Finance Company Limited Agent\n Absa Bank Account \nPay Bill No. 303030\nAccount No. 2049911885\nCash or any other mode of payment will not be accepted. \n\nKindly comply.\n\nRegards,\nManagement.\nTel. 0772547883.",2: High-risk scam,scam
"Hi, your account has been credited with KES 37,950\n\nNew Balance: KES 38,002\n\nRef: SFD6JZR38P\n\nINGIA> pepea.ke SAA HII \n\nDEPOSIT, UPATE HII PESA BY 4PM",2: High-risk scam,scam
CONGRATULATIONS & WELL DONE!YOUR NUMBER IS APPROVED.GET sh5000 INSTANT CASH FROM LIGIBET.SEND sh20 TO UNLOCK YOUR WIN NOW.PB:299690 AC:BET STOP *456*9*5#,2: High-risk scam,scam
"NOTICE! Dear tenant.  We are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER  all rent payments will be done through:  LIPA NA MPESA  PAY BILL  Business number :4140343 Account Number ( your name or house number) NAME:APARTMENT SERVICES AGENCY  Cash or any other mode of payment will not be accepted deadline 7th SEPTEMBER.  Regards, Management.\n",2: High-risk scam,scam
"When the time is right i will make it happen says the lord🙏 Reply with 5 to give hope to your callers  with this message. To Stop reply with STOP.""",0: Legit (Low-risk),legit
"Good Evening,\n\nHOT-FOREX gives You a Chance to get Guaranteed 25% profit Daily.\nSIGN UP > hot-trading.net and GET HUGE PROFITS DAILY! STOP *456*9*5#",2: High-risk scam,scam
"Hello! Madam SUSAN, I've sent 8.9M$ via BARODA BANK, Clear  Container Jx4 and Jx7 M.T.C.N Code, USE:1587 Password: [48692A] Call&Sms  Dr.JUMA COllETA {(0785810509}",2: High-risk scam,scam
"New users only! Get bonus up to KSH 35,000 on first deposit. Deposit & Win Big now! https://rebrand.ly/playsimbasl1024",2: High-risk scam,scam
"NOTICE!\n\nDear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagement.",2: High-risk scam,scam
"Good Evening,\nGet guaranteed 25% profit Trading With HOT-FOREX\n\nCLICK > hot-trading.net DEPOSIT, TRADE AND MAKE HUGE PROFITS STOP *456*9*5#",2: High-risk scam,scam
"Part-time or full-time online work, 1-5 minutes of work per day, 5000Ksh per day. Contact information:https://t.me/Jennife33998",2: High-risk scam,scam
Jack Your capital account balance: 2185609.00 KES Sh.  Account number: uu5659 Password: yy99568 Visit link: jhxcq.com,2: High-risk scam,scam
"CONGRATULATIONS!\n\nTUMEKUPEA FREEBET PALE ODIBETS!\n\nREGISTER NOW, CLAIM YOUR FREEBET AND WIN BIG!!\n\nGET YOUR FREEBET: https://odibets.com/freebet\n\nSTOP*456*9*5#",2: High-risk scam,scam
